번호|평점|영화|140자평|글쓴이|날짜
15922532|6|스파이더맨: 파 프롬 홈|나름 영상미 같은건 좋았으나 그 외에는 전부 실망스러웠음일단 스파이더맨 특유의 액션도 부족하고 홈커밍과 어벤져스 시리즈를 다 거친 피터인데도 아직 어린애 마인드를 벗어나지 못한 설정도 맘에 안듬 스파이더맨 아이덴티티가 아직도 없음 |life****|19.07.21
15922531|8|롱 리브 더 킹: 목포 영웅|내 뺨을 때린 여자는 네가 처음이야 |luck****|19.07.21
15922529|1|라이온 킹|너무 감정이입이 안되는.... 그래픽 좋구 음악도 좋은데.. 동물이 동물답지 않아서 뭔가 좀 이질감이 느껴짐 |hank****|19.07.21
15922528|10|남영동1985|전두환 개1같9은8새5끼 |uita****|19.07.21
15922527|1|유전|무슨 내용인지 한번보고 이해가 안됨 |yoos****|19.07.21
15922526|10|라이온 킹|원작 안 본 사람이라 재밌었음 근데 오글거리는 장면이 좀 있더라 |choh****|19.07.21
15922525|10|라이온 킹|솔직히 기대안하고봤는데 너무재미있게봤어요 |ebbi****|19.07.21
15922523|10|스파이더맨: 파 프롬 홈|전작보다 훨씬 재미있었습니다. |maji****|19.07.21
15922522|10|라이온 킹|정말 재밌음.. 갠적으로 알라딘보다 재밌게 본 듯 |cj4y****|19.07.21
15922521|7|알라딘|원작을 보기 전에 봐서 그런지 나름 괜찮았음. 근데 자파는 미스캐스팅. |yser****|19.07.21
